time[s],method,nCells
18.65,CPCCellToCellStencil,8000000
6.2,CPCCellToCellStencilCellBased,8000000
3.82,CPCCellToCellStencilUniqueList,8000000
2.76,CPCCellToCellStencilUniqueListInsert,8000000
2.52,CPCCellToCellStencil,1000000
0.81,CPCCellToCellStencilCellBased,1000000
0.53,CPCCellToCellStencilUniqueList,1000000
0.33,CPCCellToCellStencilUniqueListInsert,1000000
0.31,CPCCellToCellStencil,125000
0.11,CPCCellToCellStencilCellBased,125000
0.07,CPCCellToCellStencilUniqueList,125000
0.05,CPCCellToCellStencilUniqueListInsert,125000
