description,id,calls,totalTime,childTime,active,parentId
application::main,0,1,6.709363593,5.206418325,true,
profBuildStencil,1,1,4.873447257,0,false,0
partialStdStencil,2,1,0.051660105,0.035912275,false,0
partialStdStencilbuildStencil,3,1,0.035912275,0,false,2
partialZoneDist,4,1,0.005081253,0.003293759,false,0
partialZoneDistbuildStencil,5,1,0.003293759,0,false,4
partialStencilLooper,6,1,0.005243682,0.003620994,false,0
partialStencilLooperbuildStencil,7,1,0.003620994,0,false,6
partialsubSetStencil,8,1,0.008984766,0.006827316,false,0
partialsubSetStencilbuildStencil,9,1,0.006827316,0,false,8
maskedmaskedStencil,10,1,0.006442472,0.006267417,false,0
maskedmaskedStencilbuildStencil,11,1,0.006267417,0,false,10
fullStdStencil,12,1,0.056177932,0.028964748,false,0
fullStdStencilbuildStencil,13,1,0.028964748,0,false,12
fullZoneDist,14,1,0.046568052,0.017884972,false,0
fullZoneDistbuildStencil,15,1,0.017884972,0,false,14
fullStencilLooper,16,1,0.026799694,0.003730754,false,0
fullStencilLooperbuildStencil,17,1,0.003730754,0,false,16
fullsubSetStencil,18,1,0.07529195,0.048722105,false,0
fullsubSetStencilbuildStencil,19,1,0.048722105,0,false,18
fullmaskedStencil,20,1,0.050721162,0.033295027,false,0
fullmaskedStencilbuildStencil,21,1,0.033295027,0,false,20
